"# background genes","# genes","category","chart color","description","FDR value","genes","network.SUID","nodes.SUID","p-value","PMID","term name","transferred FDR value","year"
"3","3","Monarch Phenotype","","Congenital bullous ichthyosiform erythroderma","2.5E-4","KRT1|KRT10|KRT2","128","376|259|358","5.84E-7","","HP:0007475","0.3602059991327963","0"
"97","6","DISEASES","","Autoimmune disease of skin and connective tissue","2.6E-4","DSG3|DSG1|DSC1|IL36RN|DSC3|FLG","128","325|307|388|760|277|313","8.4E-7","","DOID:0060039","0.3585026652029182","0"
"776","14","GO Molecular Function","","Structural molecule activity","2.9E-4","KRT14|KRT5|KRT1|PKP1|KRT10|KRT78|SPRR1B|KRT2|KRT77|LOR|SPRR2E|SPRR1A|FLG|FLG2","128","217|337|376|319|259|475|271|358|466|331|382|247|313|295","1.16E-7","","GO:0005198","0.3537602002101044","0"
"4","3","DISEASES","","Epidermolytic hyperkeratosis","2.9E-4","KRT1|KRT10|KRT2","128","376|259|358","1.02E-6","","DOID:4603","0.3537602002101044","0"
"52","5","Monarch Phenotype","","Erythroderma","3.6E-4","TGM1|KRT1|DSG1|KRT10|ALOXE3","128","265|376|307|259|448","9.53E-7","","HP:0001019","0.3443697499232713","0"
"98","6","Monarch Phenotype","","Recurrent skin infections","3.6E-4","KRT14|KRT5|KRT1|DSG1|PKP1|SERPINA12","128","217|337|376|307|319|1036","8.89E-7","","HP:0001581","0.3443697499232713","0"
"20","4","Monarch Phenotype","","Blistering by anatomical location","3.6E-4","KRT14|KRT5|KRT1|DSG1","128","217|337|376|307","8.9E-7","","HP:0033800","0.3443697499232713","0"
"7","3","TISSUES","","Myoepithelial cell","4.7E-4","KRT14|KRT5|SERPINB5","128","217|337|283","3.47E-6","","BTO:0002309","0.33279021420642824","0"
"3247","26","GO Cellular Component","","Extracellular space","5.1E-4","KRT14|TGM1|CPA4|KRT5|KRT1|DSG3|DSC1|IL36RN|CSTA|KRT10|SCEL|KRT78|KRT2|PSAPL1|KLK5|KRTDAP|SERPINA12|KRT77|SPRR2B|IVL|WFDC5|SERPINB5|BPIFC|SBSN|KLK11|KPRP","128","217|265|1459|337|376|325|388|760|442|259|352|475|358|1489|253|289|1036|466|424|301|907|283|1429|343|865|649","1.99E-6","","GO:0005615","0.3292429823902064","0"
"5","3","COMPARTMENTS","","Keratohyalin granule","6.2E-4","LOR|FLG|FLG2","128","331|313|295","1.63E-6","","GOCC:0036457","0.3207608310501746","0"
"6","3","DISEASES","","Seborrheic keratosis","6.6E-4","KRT14|KRT5|KRT1","128","217|337|376","2.44E-6","","DOID:6498","0.31804560644581314","0"
"6","3","DISEASES","","Mycosis fungoides","6.6E-4","KRT14|KRT5|KRT1","128","217|337|376","2.44E-6","","DOID:8691","0.31804560644581314","0"
"179","7","Monarch Phenotype","","Hypohidrosis or hyperhidrosis","6.7E-4","KRT14|TGM1|KRT5|KRT1|DSG1|PKP1|ALOXE3","128","217|265|337|376|307|319|448","1.86E-6","","HP:0007550","0.31739251972991733","0"
"6","3","STRING Clusters","","Subcorneal pustular dermatosis, and Plectin repeat","7.4E-4","DSG3|PKP1|DSC3","128","325|319|277","2.44E-6","","CL:34228","0.3130768280269024","0"
"27","4","STRING Clusters","","Mixed, incl. Pachyonychia congenita, and Netherton syndrome","7.4E-4","KRT14|KRT5|KLK5|SERPINB5","128","217|337|253|283","2.59E-6","","CL:34246","0.3130768280269024","0"
"3507","28","GO Biological Process","","Cell differentiation","7.8E-4","KRT14|TGM1|KRT5|KRT1|CSTA|ZNF750|KRT10|SCEL|KRT78|SPRR1B|KRT2|ALOXE3|PSAPL1|KLK5|KRTDAP|KRT77|LCE1B|LOR|SPRR2G|SPRR2E|SPRR2B|SPRR1A|IVL|FLG|CDSN|CASP14|LCE6A|CDHR1","128","217|265|337|376|442|220|259|352|475|271|358|448|1489|253|289|466|394|331|400|382|424|247|301|313|433|409|367|1402","6.45E-7","","GO:0030154","0.31079053973095194","0"
"532","10","TISSUES","","Mouth","8.0E-4","KRT14|KRT5|KRT1|DSG3|DSG1|CSTA|KRT78|SPRR1B|SPRR2B|SBSN","128","217|337|376|325|307|442|475|271|424|343","6.62E-6","","BTO:0001090","0.3096910013008056","0"
"36","4","UniProt Keywords","","Palmoplantar keratoderma","9.9E-4","KRT14|KRT1|DSG1|LOR","128","217|376|307|331","7.38E-6","","KW-1007","0.300436480540245","0"
"34","4","DISEASES","","Skin benign neoplasm","0.0014","KRT14|KRT5|KRT1|IVL","128","217|337|376|301","5.99E-6","","DOID:3165","0.2853871964321762","0"
"340","8","TISSUES","","Mucosa","0.0015","KRT14|KRT5|KRT1|DSG1|KRT10|LOR|IVL|GDPD2","128","217|337|376|307|259|331|301|1474","1.26E-5","","BTO:0000886","0.28239087409443187","0"
"8","3","Monarch Phenotype","","Diffuse palmoplantar hyperkeratosis","0.0015","KRT14|KRT1|SERPINA12","128","217|376|1036","4.77E-6","","HP:0007447","0.28239087409443187","0"
"5","3","InterPro Domains","","Small proline-rich protein 2","0.0019","SPRR2G|SPRR2E|SPRR2B","128","400|382|424","1.63E-6","","IPR029142","0.27212463990471714","0"
"3246","26","GO Biological Process","","Animal organ development","0.0021","TGM1|KRT5|KRT1|CSTA|KRT10|SCEL|KRT78|SPRR1B|KRT2|ALOXE3|PSAPL1|KLK5|KRT77|LCE1B|LOR|SPRR2G|SPRR2E|SPRR2B|SPRR1A|IVL|FLG|CDSN|SERPINB5|FLG2|CASP14|LCE6A","128","265|337|376|442|259|352|475|271|358|448|1489|253|466|394|331|400|382|424|247|301|313|433|283|295|409|367","1.98E-6","","GO:0048513","0.26777807052660807","0"
"14","3","TISSUES","","Oral mucosa","0.0021","KRT5|KRT1|DSG1","128","337|376|307","1.94E-5","","BTO:0002860","0.26777807052660807","0"
"10","3","STRING Clusters","","Pachyonychia congenita, and Epidermolysis bullosa simplex Dowling-Meara type","0.0022","KRT14|KRT5|SERPINB5","128","217|337|283","8.23E-6","","CL:34249","0.2657577319177794","0"
"6","3","Pfam","","Small proline-rich 2","0.0028","SPRR2G|SPRR2E|SPRR2B","128","400|382|424","2.44E-6","","PF14820","0.2552841968657781","0"
"28","4","GO Biological Process","","Establishment of skin barrier","0.0029","KRT1|ALOXE3|FLG|FLG2","128","376|448|313|295","2.96E-6","","GO:0061436","0.25376020021010437","0"
"109","5","TISSUES","","Esophagus","0.0031","TGM1|KRT5|SCEL|KRT78|SERPINB5","128","265|337|352|475|283","2.91E-5","","BTO:0000959","0.25086383061657275","0"
"29","4","InterPro Domains","","Catenin binding domain superfamily","0.0034","DSG3|DSG1|DSC1|DSC3","128","325|307|388|277","3.36E-6","","IPR027397","0.2468521082957745","0"
"92","5","Monarch Phenotype","","Sepsis","0.0041","KRT14|TGM1|KRT5|PKP1|ALOXE3","128","217|265|337|319|448","1.33E-5","","HP:0100806","0.23872161432802647","0"
"1347","15","Monarch Phenotype","","Abnormality of immune system physiology","0.0044","KRT14|TGM1|KRT5|KRT1|DSG1|IL36RN|PKP1|CSTA|ZNF750|KRT10|ALOXE3|SERPINA12|SPRR2E|FLG|CDSN","128","217|265|337|376|307|760|319|442|220|259|448|1036|382|313|433","1.49E-5","","HP:0010978","0.23565473235138126","0"
"15","3","DISEASES","","Autosomal recessive congenital ichthyosis","0.0046","TGM1|ALOXE3|CASP14","128","265|448|409","2.32E-5","","DOID:0060655","0.23372421683184258","0"
"2","2","TISSUES","","Upper epidermis","0.0056","DSG1|DSC1","128","307|388","5.79E-5","","BTO:0000105","0.22518119729937996","0"
"2","2","TISSUES","","Sebum","0.0056","FLG|FLG2","128","313|295","5.79E-5","","BTO:0001981","0.22518119729937996","0"
"22","3","TISSUES","","Leaf epidermis","0.0058","DSG3|DSG1|DSC1","128","325|307|388","6.44E-5","","BTO:0000718","0.22365720064370626","0"
"11","3","Reactome Pathways","","Apoptotic cleavage of cell adhesion  proteins","0.006","DSG3|DSG1|PKP1","128","325|307|319","1.04E-5","","HSA-351906","0.2221848749616356","0"
"15","3","Monarch Phenotype","","Congenital nonbullous ichthyosiform erythroderma","0.0067","TGM1|ALOXE3|LOR","128","265|448|331","2.32E-5","","HP:0007479","0.21739251972991736","0"
"19","3","DISEASES","","Primary cutaneous amyloidosis","0.008","KRT14|KRT5|KRT1","128","217|337|376","4.34E-5","","DOID:0050639","0.20969100130080562","0"
"675","10","DISEASES","","Immune system disease","0.0084","KRT14|KRT5|KRT1|DSG3|DSG1|DSC1|IL36RN|DSC3|FLG|FLG2","128","217|337|376|325|307|388|760|277|313|295","4.95E-5","","DOID:2914","0.20757207139381184","0"
"2","2","DISEASES","","Epidermolysis bullosa simplex Dowling-Meara type","0.0095","KRT14|KRT5","128","217|337","5.79E-5","","DOID:0060735","0.20222763947111524","0"
"2","2","DISEASES","","Epidermolysis bullosa simplex with mottled pigmentation","0.0095","KRT14|KRT5","128","217|337","5.79E-5","","DOID:0111346","0.20222763947111524","0"
"2","2","DISEASES","","Irritant dermatitis","0.0095","FLG|FLG2","128","313|295","5.79E-5","","DOID:2772","0.20222763947111524","0"
"63","4","DISEASES","","Skin cancer","0.0095","KRT14|KRT5|KRT1|KRT77","128","217|337|376|466","5.81E-5","","DOID:4159","0.20222763947111524","0"
"2","2","DISEASES","","Epidermolytic acanthoma","0.0095","KRT1|KRT10","128","376|259","5.79E-5","","DOID:4323","0.20222763947111524","0"
"23","3","DISEASES","","Epidermolysis bullosa","0.0098","KRT14|KRT5|DSG1","128","217|337|307","7.26E-5","","DOID:2730","0.20087739243075053","0"
"81","4","TISSUES","","Seed","0.0123","TGM1|DSG3|DSG1|DSC1","128","265|325|307|388","1.5E-4","","BTO:0001226","0.19100948885606023","0"
"3","2","DISEASES","","Peeling skin syndrome","0.0123","CSTA|CDSN","128","442|433","9.63E-5","","DOID:0060283","0.19100948885606023","0"
"3","2","DISEASES","","Epidermolytic palmoplantar keratoderma","0.0123","KRT1|KRT2","128","376|358","9.63E-5","","DOID:0080223","0.19100948885606023","0"
"3","2","DISEASES","","Eczema herpeticum","0.0123","FLG|FLG2","128","313|295","9.63E-5","","DOID:9123","0.19100948885606023","0"
"27","3","DISEASES","","Basal cell carcinoma","0.0132","KRT14|KRT5|KRT1","128","217|337|376","1.1E-4","","DOID:2513","0.18794260687941503","0"
"821","11","Monarch Phenotype","","Generalized abnormality of skin","0.0139","KRT14|TGM1|KRT5|KRT1|IL36RN|PKP1|CSTA|KRT10|KRT2|ALOXE3|CDSN","128","217|265|337|376|760|319|442|259|358|448|433","4.91E-5","","HP:0011354","0.1856985199745905","0"
"682","10","Monarch Phenotype","","Abnormal hair quantity","0.0149","KRT14|TGM1|KRT5|KRT1|DSG1|PKP1|KRT10|ALOXE3|DSC3|CDSN","128","217|265|337|376|307|319|259|448|277|433","5.39E-5","","HP:0011362","0.1826813731587726","0"
"2","2","Monarch Phenotype","","Mottled pigmentation of the trunk and proximal extremities","0.0154","KRT14|KRT5","128","217|337","5.79E-5","","HP:0007438","0.1812479279163537","0"
"2","2","Monarch Phenotype","","Discrete 2 to 5-mm hyper- and hypopigmented macules","0.0154","KRT14|KRT5","128","217|337","5.79E-5","","HP:0007494","0.1812479279163537","0"
"1165","13","Monarch Phenotype","","Abnormality of skin adnexa morphology","0.0154","KRT14|TGM1|KRT5|KRT1|DSG1|IL36RN|PKP1|CSTA|KRT10|ALOXE3|DSC3|LOR|CDSN","128","217|265|337|376|307|760|319|442|259|448|277|331|433","6.04E-5","","HP:0011138","0.1812479279163537","0"
"2","2","Monarch Phenotype","","Palmoplantar scaling skin","0.0154","TGM1|KRT1","128","265|376","5.79E-5","","HP:0025524","0.1812479279163537","0"
"21","3","Monarch Phenotype","","Skin erosion","0.0154","KRT14|KRT5|CSTA","128","217|337|442","5.68E-5","","HP:0200041","0.1812479279163537","0"
"116","5","SMART Domains","","Cadherin repeats.","0.0159","DSG3|DSG1|DSC1|DSC3|CDHR1","128","325|307|388|277|1402","3.88E-5","","SM00112","0.17986028756795486","0"
"65","4","Monarch Phenotype","","Papule","0.0159","KRT14|KRT5|CSTA|SERPINA12","128","217|337|442|1036","6.52E-5","","HP:0200034","0.17986028756795486","0"
"5","2","TISSUES","","Basal cell","0.0163","KRT14|KRT5","128","217|337","2.0E-4","","BTO:0000939","0.17878123955960423","0"
"4","2","DISEASES","","Peanut allergy","0.0166","FLG|FLG2","128","313|295","1.4E-4","","DOID:4378","0.1779891911959945","0"
"4","2","DISEASES","","Impetigo","0.0166","DSG1|IL36RN","128","307|760","1.4E-4","","DOID:8504","0.1779891911959945","0"
"4","2","DISEASES","","Bullous pemphigoid","0.0166","DSG3|DSG1","128","325|307","1.4E-4","","DOID:8506","0.1779891911959945","0"
"30","3","UniProt Keywords","","Hypotrichosis","0.0168","DSG1|DSC3|CDSN","128","307|277|433","1.5E-4","","KW-1063","0.17746907182741373","0"
"2","2","COMPARTMENTS","","Extracellular core region of desmosome","0.019","DSG1|CDSN","128","307|433","5.79E-5","","GOCC:0090635","0.1721246399047171","0"
"24","3","Monarch Phenotype","","Onychogryposis","0.0195","KRT14|KRT5|LOR","128","217|337|331","8.15E-5","","HP:0001805","0.1709965388637482","0"
"70","4","Monarch Phenotype","","Hypohidrosis","0.0201","KRT14|TGM1|PKP1|ALOXE3","128","217|265|319|448","8.57E-5","","HP:0000966","0.16968039425795112","0"
"5","2","DISEASES","","Netherton syndrome","0.021","KLK5|CDSN","128","253|433","2.0E-4","","DOID:0050474","0.16777807052660806","0"
"5","2","DISEASES","","Autosomal recessive congenital ichthyosis 1","0.021","TGM1|ALOXE3","128","265|448","2.0E-4","","DOID:0060656","0.16777807052660806","0"
"3","2","Monarch Phenotype","","Focal friction-related palmoplantar hyperkeratosis","0.0222","KRT14|KRT5","128","217|337","9.63E-5","","HP:0007497","0.16536470255493613","0"
"3","2","Monarch Phenotype","","Localized epidermolytic hyperkeratosis","0.0222","TGM1|KRT1","128","265|376","9.63E-5","","HP:0007559","0.16536470255493613","0"
"3","2","Monarch Phenotype","","Generalized reticulate brown pigmentation","0.0222","KRT14|KRT5","128","217|337","9.63E-5","","HP:0007599","0.16536470255493613","0"
"3","2","Monarch Phenotype","","White scaling skin","0.0222","FLG2|CASP14","128","295|409","9.63E-5","","HP:0040190","0.16536470255493613","0"
"75","4","Monarch Phenotype","","Cutaneous photosensitivity","0.0237","KRT14|KRT5|KRT1|KRT10","128","217|337|376|259","1.1E-4","","HP:0000992","0.16252516539898962","0"
"108","5","InterPro Domains","","Cadherin conserved site","0.0251","DSG3|DSG1|DSC1|DSC3|CDHR1","128","325|307|388|277|1402","2.79E-5","","IPR020894","0.16003262785189618","0"
"757","10","GO Cellular Component","","Polymeric cytoskeletal fiber","0.0259","KRT14|KRT5|KRT1|PKP1|KRT10|KRT78|KRT2|KRT77|CASP14|GDPD2","128","217|337|376|319|259|475|358|466|409|1474","1.3E-4","","GO:0099513","0.15867002359187482","0"
"4","2","GO Cellular Component","","Keratohyalin granule","0.0268","FLG|FLG2","128","313|295","1.4E-4","","GO:0036457","0.15718652059712113","0"
"6","2","DISEASES","","Pemphigus vulgaris","0.0268","DSG3|DSG1","128","325|307","2.7E-4","","DOID:0060851","0.15718652059712113","0"
"113","5","InterPro Domains","","Cadherin-like","0.0274","DSG3|DSG1|DSC1|DSC3|CDHR1","128","325|307|388|277|1402","3.44E-5","","IPR002126","0.1562249437179612","0"
"115","5","InterPro Domains","","Cadherin-like superfamily","0.0274","DSG3|DSG1|DSC1|DSC3|CDHR1","128","325|307|388|277|1402","3.73E-5","","IPR015919","0.1562249437179612","0"
"4","2","Monarch Phenotype","","Punctate palmoplantar hyperkeratosis","0.0303","KRT14|KRT5","128","217|337","1.4E-4","","HP:0007530","0.1518557371497695","0"
"4","2","Monarch Phenotype","","Skin fragility with non-scarring blistering","0.0303","KRT14|KRT5","128","217|337","1.4E-4","","HP:0007585","0.1518557371497695","0"
"4","2","Monarch Phenotype","","Smooth tongue","0.0303","KRT14|KRT5","128","217|337","1.4E-4","","HP:0010298","0.1518557371497695","0"
"4","2","Monarch Phenotype","","Foot pain","0.0303","KRT14|KRT5","128","217|337","1.4E-4","","HP:0025238","0.1518557371497695","0"
"4","2","Monarch Phenotype","","Genital blistering","0.0303","KRT14|KRT5","128","217|337","1.4E-4","","HP:0031464","0.1518557371497695","0"
"4","2","Monarch Phenotype","","Hyperkeratotic papule","0.0303","KRT14|KRT5","128","217|337","1.4E-4","","HP:0045059","0.1518557371497695","0"
"107","4","TISSUES","","Shoot","0.032","TGM1|DSG3|DSG1|DSC1","128","265|325|307|388","4.1E-4","","BTO:0001243","0.1494850021680094","0"
"7","2","DISEASES","","Autosomal recessive congenital ichthyosis 4B","0.0329","TGM1|ALOXE3","128","265|448","3.4E-4","","DOID:0060713","0.14828041020500257","0"
"34","3","Monarch Phenotype","","Fragile skin","0.0372","KRT14|KRT5|PKP1","128","217|337|319","2.1E-4","","HP:0001030","0.14294570601181025","0"
"5","2","Monarch Phenotype","","Acute episodes of neuropathic symptoms","0.0372","KRT14|KRT5","128","217|337","2.0E-4","","HP:0003489","0.14294570601181025","0"
"5","2","Monarch Phenotype","","Reticulated skin pigmentation","0.0372","KRT14|KRT5","128","217|337","2.0E-4","","HP:0007427","0.14294570601181025","0"
"5","2","Monarch Phenotype","","Depigmentation/hyperpigmentation of skin","0.0372","KRT14|KRT5","128","217|337","2.0E-4","","HP:0007483","0.14294570601181025","0"
"5","2","Monarch Phenotype","","Aplasia cutis congenita on trunk or limbs","0.0372","KRT14|KRT5","128","217|337","2.0E-4","","HP:0007589","0.14294570601181025","0"
"5","2","Monarch Phenotype","","Hypomelanotic macule","0.0372","KRT14|KRT5","128","217|337","2.0E-4","","HP:0009719","0.14294570601181025","0"
"2","2","InterPro Domains","","Filaggrin","0.0378","FLG|FLG2","128","313|295","5.79E-5","","IPR003303","0.14225082001627748","0"
"9","2","TISSUES","","Urinary bladder cancer cell","0.0385","DSC3|CAPNS2","128","277|1495","5.2E-4","","BTO:0000362","0.14145392704914994","0"
"9","2","TISSUES","","Bronchial epithelial cell","0.0385","KRT14|KRT5","128","217|337","5.2E-4","","BTO:0002922","0.14145392704914994","0"
"5117","31","GO Biological Process","","Anatomical structure development","0.0396","KRT14|TGM1|KRT5|KRT1|CSTA|ZNF750|KRT10|SCEL|KRT78|SPRR1B|KRT2|ALOXE3|PSAPL1|KLK5|KRTDAP|KRT77|LCE1B|DSC3|LOR|SPRR2G|SPRR2E|SPRR2B|SPRR1A|IVL|FLG|CDSN|SERPINB5|FLG2|CASP14|LCE6A|CDHR1","128","217|265|337|376|442|220|259|352|475|271|358|448|1489|253|289|466|394|277|331|400|382|424|247|301|313|433|283|295|409|367|1402","4.55E-5","","GO:0048856","0.14023048140744876","0"
"886","10","UniProt Keywords","","Calcium","0.0423","TGM1|DSG3|DSG1|DSC1|DSC3|FLG|FLG2|PLA2G4E|CAPNS2|CDHR1","128","265|325|307|388|277|313|295|1453|1495|1402","4.4E-4","","KW-0106","0.13736596326249578","0"
"23","3","InterPro Domains","","Cadherin, Y-type LIR-motif","0.0435","DSG1|DSC1|DSC3","128","307|388|277","7.26E-5","","IPR000233","0.13615107430453627","0"
"6","2","Monarch Phenotype","","Erythematous papule","0.0448","KRT14|KRT5","128","217|337","2.7E-4","","HP:0030350","0.1348721986001856","0"
"6","2","Monarch Phenotype","","Acantholysis","0.0448","DSG1|KRT2","128","307|358","2.7E-4","","HP:0100792","0.1348721986001856","0"
"5","2","STRING Clusters","","Pachyonychia congenita, and Epidermolysis bullosa simplex Dowling-Meara type","0.0461","KRT14|KRT5","128","217|337","2.0E-4","","CL:34253","0.13362990746103517","0"
"5","2","STRING Clusters","","Autosomal recessive congenital ichthyosis 4B","0.0461","TGM1|ALOXE3","128","265|448","2.0E-4","","CL:34330","0.13362990746103517","0"
